stock_code,x_coordinate,y_coordinate
21250,19,44
22927,20,43
85063,21,42
84563B,22,41
47593A,23,40
90200E,24,39
21307,25,38
72801D,26,37
84846A,27,36
90210A,28,35
84508B,29,34
85124B,30,33
44234,31,32
21742,32,31
72780,33,30
22975,34,29
21367,35,28
90042C,36,27
90120C,37,26
37444A,38,25
84247C,39,24
90010B,40,23
85183A,41,22
90129B,42,21
22414,43,20
22136,44,19
84843,45,18
21851,46,17
90186A,47,16
21841,48,15
84584,49,14
22496,0,64
47504H,1,63
22396,2,62
85135A,3,61
21281,4,60
35645,5,59
84968F,6,58
21376,7,57
90198B,8,56
85186A,9,55
90180A,10,54
22438,11,53
85039a,12,52
84870B,13,51
15044C,14,50
84915,15,49
21318,16,48
21664,17,47
84596e,18,46
84931A,19,45
21895,20,44
21378,21,43
90206C,22,42
90185C,23,41
21090,24,40
21400,25,39
84799,26,38
21398,27,37
79403,28,36
46776A,29,35
90173,30,34
21129,31,33
84773,32,32
21402,33,31
21932,34,30
47503A,35,29
21849,36,28
21319,37,27
15056p,38,26
71279,39,25
84877D,40,24
84952A,41,23
21228,42,22
21555,43,21
21678,44,20
20821,45,19
21382,46,18
35609A,47,17
21065,48,16
84429A,49,15
22124,0,65
21426,1,64
22106,2,63
20763,3,62
22919,4,61
71270,5,60
21128,6,59
21391,7,58
21278,8,57
21275,9,56
21634,10,55
47343A,11,54
48189,12,53
17109D,13,52
47559b,14,51
84898F,15,50
90200B,16,49
21043,17,48
85032C,18,47
85159A,19,46
35810B,20,45
22101,21,44
84795B,22,43
21684,23,42
90036F,24,41
22827,25,40
85226C,26,39
84922,27,38
84509C,28,37
85204,29,36
84926E,30,35
46138B,31,34
71510,32,33
72811,33,32
84967B,34,31
72132,35,30
20936,36,29
84917,37,28
84709B,38,27
90145,39,26
90208,40,25
10123C,41,24
81952V,42,23
21197,43,22
35916C,44,21
22354,45,20
90099,46,19
84569C,47,18
90013A,48,17
21882,49,16
21032,0,66
84877B,1,65
47021G,2,64
84927F,3,63
85024C,4,62
16219,5,61
21365,6,60
21873,7,59
84827,8,58
90143,9,57
22503,10,56
90071,11,55
47503H,12,54
90184B,13,53
21403,14,52
84881,15,51
15044B,16,50
16046,17,49
46775D,18,48
85071D,19,47
85036C,20,46
90093,21,45
20898,22,44
85014b,23,43
21739,24,42
21610,25,41
77101A,26,40
46776C,27,39
84872a,28,38
84931B,29,37
90018B,30,36
72127,31,35
90190C,32,34
84356,33,33
79192A,34,32
90059E,35,31
21316,36,30
84507C,37,29
85027L,38,28
85212,39,27
85169D,40,26
84660C,41,25
90175A,42,24
22691,43,23
85179A,44,22
84989A,45,21
84874B,46,20
72351a,47,19
21717,48,18
84707B,49,17
84507B,0,67
84559a,1,66
85071C,2,65
72133,3,64
46126A,4,63
90036D,5,62
20781,6,61
84760S,7,60
37482P,8,59
90040B,9,58
90059A,10,57
21518,11,56
90199B,12,55
35240,13,54
79030D,14,53
15056n,15,52
84192,16,51
85206A,17,50
35648,18,49
85211,19,48
20705,20,47
85020,21,46
20892,22,45
20934,23,44
84929,24,43
90003C,25,42
21661,26,41
17090D,27,40
82613A,28,39
84313C,29,38
84766,30,37
72801C,31,36
47420,32,35
90130B,33,34
84877A,34,33
85017C,35,32
20831,36,31
20701,37,30
20796,38,29
85086A,39,28
90042A,40,27
71406C,41,26
21789,42,25
20932,43,24
35637A,44,23
79191D,45,22
84247N,46,21
84613C,47,20
85126,48,19
21432,49,18
90201D,0,68
47471,1,67
17136A,2,66
72134,3,65
85031A,4,64
21879,5,63
21973,6,62
37475,7,61
90014A,8,60
21424,9,59
84596K,10,58
84510C,11,57
35471A,12,56
22963,13,55
21359,14,54
21274,15,53
20695,16,52
21922,17,51
21905,18,50
84663A,19,49
15044A,20,48
22442,21,47
21269,22,46
51020A,23,45
84925F,24,44
90198A,25,43
22512,26,42
22609,27,41
20935,28,40
22231,29,39
22961,30,38
22261,31,37
20957,32,36
84884a,33,35
21366,34,34
90209C,35,33
21410,36,32
90028,37,31
22209,38,30
84856L,39,29
90177D,40,28
84228,41,27
21726,42,26
90000D,43,25
84510a,44,24
47422,45,23
85213,46,22
16052,47,21
84997d,48,20
21418,49,19
22416,0,69
22925,1,68
85187,2,67
84637,3,66
20839,4,65
90212B,5,64
84975,6,63
84926A,7,62
20696,8,61
85169C,9,60
20910,10,59
84661B,11,58
90018A,12,57
84908B,13,56
90082A,14,55
22808,15,54
90177C,16,53
20697,17,52
90019B,18,51
20952,19,50
21635,20,49
84614A,21,48
90161D,22,47
90188,23,46
90161A,24,45
84989a,25,44
21538,26,43
84673A,27,42
84813,28,41
BANK CHARGES,29,40
21277,30,39
90082B,31,38
90158,32,37
90120B,33,36
22596,34,35
90122C,35,34
90129E,36,33
47585A,37,32
90146,38,31
84497,39,30
82011B,40,29
84927A,41,28
47578A,42,27
22325,43,26
84847,44,25
20663,45,24
90005A,46,23
21330,47,22
17013D,48,21
85136B,49,20
47566b,0,70
46115B,1,69
84715,2,68
90175C,3,67
79051A,4,66
84688,5,65
85119,6,64
90010A,7,63
85144,8,62
21331,9,61
71495A,10,60
85031C,11,59
22977,12,58
20666,13,57
85019A,14,56
90059C,15,55
20704,16,54
84559D,17,53
71495B,18,52
21667,19,51
84631,20,50
84508C,21,49
84899F,22,48
21666,23,47
15044D,24,46
90199C,25,45
46776E,26,44
90184A,27,43
20906,28,42
20861,29,41
90165B,30,40
85130C,31,39
90098,32,38
37509,33,37
90022,34,36
46000P,35,35
90129C,36,34
90124A,37,33
72798C,38,32
21749,39,31
85006,40,30
90101,41,29
84609,42,28
62094B,43,27
22517,44,26
90090,45,25
90054,46,24
16049,47,23
17011F,48,22
90040C,49,21
20731,0,71
84809A,1,70
84510c,2,69
85087,3,68
85026B,4,67
84708B,5,66
16169N,6,65
46118,7,64
47586A,8,63
84660c,9,62
85170C,10,61
17001,11,60
22342,12,59
90185A,13,58
84422,14,57
90081C,15,56
22251,16,55
35809A,17,54
90201B,18,53
84358,19,52
22770,20,51
90039D,21,50
90081A,22,49
DCGS0076,23,48
37479B,24,47
22924,25,46
22269,26,45
22345,27,44
90204,28,43
84531A,29,42
84531B,30,41
21372,31,40
22655,32,39
90014B,33,38
37462E,34,37
22305,35,36
22092,36,35
72800F,37,34
21040,38,33
37489A,39,32
44235,40,31
90033,41,30
85194S,42,29
90122B,43,28
22461,44,27
84806B,45,26
90191,46,25
90035A,47,24
47503J,48,23
82095,49,22
84820,0,72
84600,1,71
85166B,2,70
17191A,3,69
90120D,4,68
84984D,5,67
90032,6,66
21280,7,65
84247K,8,64
84925D,9,63
84526,10,62
90128A,11,61
90036E,12,60
85163A,13,59
84858C,14,58
84620,15,57
85180A,16,56
79337,17,55
84539,18,54
84951A,19,53
84968E,20,52
72801d,21,51
72140E,22,50
22954,23,49
21420,24,48
84638,25,47
85194L,26,46
84927E,27,45
22833,28,44
90122A,29,43
72807c,30,42
21370,31,41
35610A,32,40
90089,33,39
15058B,34,38
47574B,35,37
21386,36,36
90201C,37,35
84875A,38,34
84687,39,33
85032B,40,32
22104,41,31
85023B,42,30
90036A,43,29
71101E,44,28
47421,45,27
90003E,46,26
85088,47,25
21082,48,24
21425,49,23
37491A,0,73
84976,1,72
90059D,2,71
90138,3,70
90177E,4,69
90194,5,68
20703,6,67
46776D,7,66
90199A,8,65
21825,9,64
22825,10,63
71215,11,62
90120A,12,61
90124B,13,60
90166,14,59
84926D,15,58
21654,16,57
35916B,17,56
90003B,18,55
90125D,19,54
21636,20,53
90178A,21,52
10124A,22,51
17084J,23,50
90000B,24,49
22923,25,48
47481,26,47
21689,27,46
84712B,28,45
90211B,29,44
90130C,30,43
84558a,31,42
84927D,32,41
84665,33,40
35914,34,39
90118,35,38
47574A,36,37
90073,37,36
20869,38,35
22832,39,34
21794,40,33
90023,41,32
20794,42,31
84803A,43,30
90129D,44,29
35610B,45,28
90181B,46,27
90211A,47,26
20801,48,25
20851,49,24
21344,0,74
35912B,1,73
84251C,2,72
84882,3,71
90088,4,70
90175D,5,69
35951,6,68
47369B,7,67
47579,8,66
84597C,9,65
84921,10,64
90162B,11,63
90162D,12,62
90167,13,61
21416,14,60
21615,15,59
22201,16,58
22254,17,57
22885,18,56
85180B,19,55
90030B,20,54
90174,21,53
22829,22,52
21455,23,51
35966,24,50
72821,25,49
84689,26,48
84748,27,47
22870,28,46
21084,29,45
35633B,30,44
90155,31,43
17084A,32,42
21473,33,41
84751B,34,40
90199D,35,39
16053,36,38
16259,37,37
84549,38,36
84576,39,35
84660B,40,34
84875D,41,33
85141,42,32
85047,43,31
90137,44,30
20694,45,29
84951B,46,28
85044,47,27
84251B,48,26
84796B,49,25
90072,0,75
90197B,1,74
90201A,2,73
16020C,3,72
47589,4,71
90156,5,70
22869,6,69
21095,7,68
22882,8,67
84905,9,66
90014C,10,65
90060F,11,64
90196B,12,63
21004,13,62
21350,14,61
72750B,15,60
75178,16,59
84859C,17,58
84993a,18,57
90157,19,56
90202D,20,55
22408,21,54
84800L,22,53
90108,23,52
84595E,24,51
21633,25,50
22285,26,49
84801B,27,48
84816,28,47
85098B,29,46
90000A,30,45
21146,31,44
85232b,32,43
90130A,33,42
84984C,34,41
35932,35,40
21631,36,39
84711B,37,38
85161,38,37
46000U,39,36
84908A,40,35
90036C,41,34
20823,42,33
21131,43,32
47013C,44,31
21199,45,30
37491D,46,29
DCGS0003,47,28
85186C,48,27
35911A,49,26
85163B,0,76
35637C,1,75
84842,2,74
21337,3,73
22390,4,72
84575A,5,71
35603C,6,70
21943,7,69
21226,8,68
21632,9,67
18097A,10,66
22233,11,65
20700,12,64
20840,13,63
84706D,14,62
84906,15,61
22877,16,60
22292,17,59
22255,18,58
22221,19,57
20819,20,56
21089,21,55
90175B,22,54
90183A,23,53
71496A,24,52
17014A,25,51
82597,26,50
35916A,27,49
84707A,28,48
85094,29,47
90160C,30,46
40005B,31,45
22608,32,44
90168,33,43
90169,34,42
90202C,35,41
21816,36,40
90179C,37,39
84388,38,38
90186B,39,37
22123,40,36
22164,41,35
22498,42,34
35015,43,33
22859,44,32
16202E,45,31
20793,46,30
20849,47,29
21270,48,28
21320,49,27
21368,0,77
21476,1,76
21659,2,75
35913B,3,74
37351,4,73
62095B,5,72
81950B,6,71
84907,7,70
85031B,8,69
85160A,9,68
85189,10,67
85224,11,66
90112,12,65
90123A,13,64
90123D,14,63
90133,15,62
90159,16,61
20850,17,60
20997,18,59
35810A,19,58
35819B,20,57
84924D,21,56
90002A,22,55
90065B,23,54
90103,24,53
90162C,25,52
90163A,26,51
gift_0001_30,27,50
16156L,28,49
16202A,29,48
16207B,30,47
16212,31,46
35004c,32,45
35931,33,44
72369A,34,43
79161A,35,42
85030,36,41
85040a,37,40
85089,38,39
90024D,39,38
90036B,40,37
90038A,41,36
90164A,42,35
90178B,43,34
90214T,44,33
gift_0001_20,45,32
20698,46,31
16202B,47,30
20664,48,29
20860,49,28
20953,0,78
21117,1,77
21332,2,76
21454,3,75
21541,4,74
35607B,5,73
35649,6,72
84660A,7,71
84796A,8,70
84800M,9,69
84802A,10,68
85033S,11,67
85092,12,66
85168B,13,65
85179B,14,64
85197,15,63
85198,16,62
85205B,17,61
90011A,18,60
90013D,19,59
90037A,20,58
90059F,21,57
90070,22,56
90124C,23,55
90164B,24,54
90180B,25,53
90190A,26,52
90202A,27,51
22446,28,50
90027D,29,49
15058C,30,48
21003,31,47
21394,32,46
21414,33,45
21457,34,44
22656,35,43
35818B,36,42
72225C,37,41
79406,38,40
84509F,39,39
84510E,40,38
84527,41,37
84616,42,36
84872A,43,35
84985a,44,34
85018B,45,33
85019B,46,32
85090,47,31
85121C,48,30
90016A,49,29
90016B,0,79
90079,1,78
90144,2,77
90160B,3,76
90210D,4,75
90205C,5,74
16161G,6,73
16169P,7,72
20670,8,71
21134,9,70
21198,10,69
21395,11,68
21431,12,67
35647,13,66
35817P,14,65
35915C,15,64
37330,16,63
62086A,17,62
84007,18,61
84033,19,60
84675,20,59
84977,21,58
84997a,22,57
85042,23,56
85145,24,55
90057,25,54
90100,26,53
90148,27,52
90177B,28,51
21548,29,50
22284,30,49
22872,31,48
72803B,32,47
90024B,33,46
22782,34,45
22344,35,44
21850,36,43
22215,37,42
20847,38,41
21336,39,40
84522,40,39
84711A,41,38
85093,42,37
90010E,43,36
90056,44,35
90183B,45,34
90205A,46,33
90059B,47,32
35646,48,31
90170,49,30
22803,0,80
21595,1,79
22393,2,78
